Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-04-09,164.518,165.062,163.132,163.976,120106600,0,0
2014-04-10,164.15,164.7,162.23,163.012,139211400,0,0
2014-04-11,162.826,163.594,161.386,162.152,138785400,0,0
2014-04-14,162.294,163.086,160.942,161.906,137101200,0,0
2014-04-15,162.128,162.898,160.576,161.748,145987800,0,0
2014-04-16,162.106,162.722,160.504,161.58,146976400,0,0
2014-04-17,161.896,162.676,160.966,162.15,133435600,0,0
2014-04-21,162.654,163.324,161.83,163.124,113651200,0,0
2014-04-22,163.41,164.208,162.832,163.996,104332800,0,0
2014-04-23,164.202,164.84,163.852,164.568,87688000,0,0
2014-04-24,164.712,165.236,164.254,164.866,84282600,0,0
2014-04-25,164.948,165.31,164.31,164.848,83307600,0,0
2014-04-28,165.056,165.414,164.09,164.82,96666000,0,0
2014-04-29,165.1,165.352,164.08,164.794,96327600,0,0
2014-04-30,165.034,165.454,164.058,164.946,101855400,0,0
2014-05-01,165.008,165.532,164.198,165.034,102825200,0,0
2014-05-02,165.2,165.852,164.534,165.344,102373600,0,0
2014-05-05,165.216,166.004,164.826,165.614,90526000,0,0
2014-05-06,165.308,166.02,164.766,165.444,90797200,0,0
2014-05-07,165.302,165.928,164.56,165.368,91795600,0,0
2014-05-08,165.212,165.966,164.446,165.254,91915400,0,0
2014-05-09,165.106,165.772,164.278,165.238,89026800,0,0
2014-05-12,165.398,166.006,164.52,165.48,91238200,0,0
2014-05-13,165.758,166.408,165.054,166.04,87438200,0,0
2014-05-14,166.178,166.744,165.544,166.248,80611600,0,0
2014-05-15,166.348,166.686,165.438,166.198,92879200,0,0
2014-05-16,166.312,166.702,165.42,166.214,95635000,0,0
2014-05-19,166.116,166.528,165.336,166.028,91014800,0,0
2014-05-20,165.87,166.22,164.86,165.604,100052800,0,0
2014-05-21,165.57,166.104,164.732,165.616,103398000,0,0
2014-05-22,165.658,166.324,165.152,166.002,84716600,0,0
2014-05-23,166.054,166.736,165.656,166.406,77443560,0,0
2014-05-27,166.648,167.208,166.26,166.896,79077760,0,0
2014-05-28,167.154,167.762,166.964,167.57,70093560,0,0
2014-05-29,167.81,168.32,167.538,168.14,65150360,0,0
2014-05-30,168.34,168.818,168.096,168.684,68103760,0,0
2014-06-02,168.902,169.26,168.516,169.132,68816400,0,0
2014-06-03,169.142,169.492,168.744,169.358,67423800,0,0
2014-06-04,169.31,169.754,168.956,169.676,65185000,0,0
2014-06-05,169.59,170.15,169.198,170.042,70730200,0,0
2014-06-06,170.062,170.612,169.682,170.518,71206200,0,0
2014-06-09,170.484,171.152,170.244,170.99,71298800,0,0
2014-06-10,170.996,171.636,170.714,171.482,69715200,0,0
2014-06-11,171.422,171.956,171.104,171.786,72363800,0,0
2014-06-12,171.648,171.984,171.176,171.626,75213200,0,0
2014-06-13,171.48,171.788,170.916,171.406,75877400,0,0
2014-06-16,171.224,171.55,170.65,171.18,80338400,0,0
2014-06-17,170.992,171.432,170.456,171.044,85879400,0,0
2014-06-18,170.98,171.652,170.44,171.28,93178400,0,0
2014-06-19,171.286,171.968,170.914,171.798,89094200,0,0
2014-06-20,171.824,172.448,171.5,172.282,92808200,0.1874,0
2014-06-23,172.358,172.85,171.994,172.726,89445600,0.1874,0
2014-06-24,172.788,173.284,172.276,172.868,91726200,0.1874,0
2014-06-25,172.858,173.346,172.414,172.914,87229200,0.1874,0
2014-06-26,172.878,173.34,172.284,172.894,86905800,0.1874,0
2014-06-27,172.692,173.3,172.142,172.872,81077420,0,0
2014-06-30,172.64,173.322,172.142,172.844,80995460,0,0
2014-07-01,172.76,173.522,172.432,173.256,79842060,0,0
2014-07-02,173.248,173.822,172.912,173.548,73780660,0,0
2014-07-03,173.634,174.292,173.532,174.038,67506020,0,0
2014-07-07,174.136,174.664,173.944,174.338,65556200,0,0
2014-07-08,174.394,174.85,173.986,174.43,73144560,0,0
2014-07-09,174.488,174.792,174.018,174.446,69648960,0,0
2014-07-10,174.164,174.682,173.682,174.288,78961960,0,0
2014-07-11,173.886,174.41,173.354,174.006,81222800,0,0
2014-07-14,173.848,174.388,173.392,174.02,80615200,0,0
2014-07-15,173.948,174.544,173.498,174.196,81248000,0,0
2014-07-16,174.192,174.714,173.696,174.344,82646880,0,0
2014-07-17,174.568,174.934,173.762,174.232,91918480,0,0
2014-07-18,174.592,175.14,173.842,174.426,103935880,0,0
2014-07-21,174.5,175.078,173.664,174.38,105722680,0,0
2014-07-22,174.552,175.158,173.93,174.552,96996880,0,0
2014-07-23,174.62,175.262,174.05,174.672,94122000,0,0
2014-07-24,174.882,175.432,174.584,175.192,76420000,0,0
2014-07-25,175.19,175.494,174.778,175.194,66921400,0,0
2014-07-28,175.31,175.598,174.812,175.276,67254800,0,0
2014-07-29,175.338,175.58,174.644,175.054,69812400,0,0
2014-07-30,175.188,175.414,174.3,174.762,77534400,0,0
2014-07-31,174.618,174.834,173.33,173.78,102852600,0,0
2014-08-01,173.64,174.038,172.31,172.856,125337400,0,0
2014-08-04,172.774,173.368,171.502,172.164,129753600,0,0
2014-08-05,171.878,172.51,170.51,171.29,144198400,0,0
2014-08-06,170.722,171.622,169.612,170.42,142317600,0,0
2014-08-07,170.25,171.152,169.184,170.054,132768400,0,0
2014-08-08,170.054,171.082,169.074,170.186,118319000,0,0
2014-08-11,170.248,171.144,169.366,170.17,114959800,0,0
2014-08-12,170.338,171.24,169.654,170.44,99148200,0,0
2014-08-13,170.9,171.624,170.164,170.93,93994000,0,0
2014-08-14,171.294,172.09,170.948,171.768,78321600,0,0
2014-08-15,172.182,172.67,171.544,172.206,82909000,0,0
2014-08-18,172.684,173.164,172.072,172.836,83085000,0,0
2014-08-19,173.432,173.942,172.868,173.694,80185600,0,0
2014-08-20,174.108,174.666,173.596,174.416,80928800,0,0
2014-08-21,174.802,175.372,174.294,175.076,83012800,0,0
2014-08-22,175.308,175.91,175.076,175.69,70244000,0,0
2014-08-25,175.898,176.466,175.512,176.192,67930200,0,0
2014-08-26,176.338,176.868,176.014,176.536,65562800,0,0
2014-08-27,176.748,177.118,176.342,176.772,60585000,0,0
2014-08-28,176.836,177.21,176.424,176.886,58692800,0,0
2014-08-29,177.034,177.394,176.616,177.154,56652800,0,0
2014-09-02,177.18,177.466,176.74,177.228,58367000,0,0
2014-09-03,177.366,177.57,176.73,177.258,60399800,0,0
2014-09-04,177.438,177.748,176.682,177.25,67872200,0,0
2014-09-05,177.542,177.91,176.686,177.422,76641600,0,0
2014-09-08,177.624,177.996,176.718,177.402,76289400,0,0
2014-09-09,177.526,177.916,176.55,177.174,79522400,0,0
2014-09-10,177.18,177.702,176.294,177.098,81480200,0,0
2014-09-11,176.902,177.482,176.198,177.114,77787880,0,0
2014-09-12,176.89,177.292,176.046,176.764,80834340,0,0
2014-09-15,176.578,176.958,175.758,176.48,83285340,0,0
2014-09-16,176.26,177.01,175.686,176.684,88807340,0,0
2014-09-17,176.498,177.272,175.86,176.804,105610340,0,0
2014-09-18,176.868,177.54,176.21,177.074,111253460,0,0
2014-09-19,177.284,178.022,176.682,177.518,112101400,0.1878,0
2014-09-22,177.66,178.374,176.91,177.712,121931800,0.1878,0
2014-09-23,177.792,178.26,176.976,177.44,120970200,0.1878,0
2014-09-24,177.472,178.074,176.744,177.394,112172200,0.1878,0
2014-09-25,177.226,177.744,176.052,176.586,123234200,0.1878,0
2014-09-26,176.37,177.12,175.364,176.088,119613800,0,0
2014-09-29,175.634,176.678,174.886,175.802,113525600,0,0
2014-09-30,175.502,176.506,174.648,175.626,117507400,0,0
2014-10-01,175.264,175.986,174.006,174.7,131611800,0,0
2014-10-02,174.4,175.276,173.31,174.352,133008800,0,0
2014-10-03,174.22,175.02,173.072,174.106,136613200,0,0
2014-10-06,174.422,174.968,172.99,173.884,138546400,0,0
2014-10-07,173.994,174.51,172.388,173.216,141868600,0,0
2014-10-08,173.402,174.538,172.114,173.624,143601200,0,0
2014-10-09,173.784,174.812,172.154,173.332,154285200,0,0
2014-10-10,173.252,174.226,171.338,172.27,174353200,0,0
2014-10-13,172.03,173.08,169.866,170.692,199585400,0,0
2014-10-14,170.812,172.032,168.768,169.704,213172200,0,0
2014-10-15,169.354,170.392,166.912,167.89,252023000,0,0
2014-10-16,166.996,168.79,165.19,166.742,263960200,0,0
2014-10-17,166.238,168.098,164.68,166.374,262503400,0,0
2014-10-20,165.824,167.974,164.816,166.888,242317800,0,0
2014-10-21,166.402,168.752,165.604,168.02,230138200,0,0
2014-10-22,168.046,170.034,167.504,169.132,184359600,0,0
2014-10-23,170.1,171.566,169.524,170.67,161270200,0,0
2014-10-24,171.312,172.764,170.746,172.084,141930600,0,0
2014-10-27,172.662,173.83,171.984,173.124,132519200,0,0
2014-10-28,173.576,174.58,172.918,173.894,122876600,0,0
2014-10-29,174.312,175.328,173.662,174.856,121023600,0,0
2014-10-30,174.838,175.994,174.22,175.646,112700800,0,0
2014-10-31,176,176.94,175.336,176.576,118496000,0,0
2014-11-03,177.1,178.006,176.452,177.574,120625200,0,0
2014-11-04,177.884,178.572,177.044,178.046,117946600,0,0
2014-11-05,178.592,179.19,177.87,178.798,107777000,0,0
2014-11-06,179.448,179.778,178.624,179.468,106528800,0,0
2014-11-07,179.694,180.094,178.95,179.766,95056200,0,0
2014-11-10,179.954,180.376,179.272,180.158,89600000,0,0
2014-11-11,180.456,180.856,179.91,180.712,81831280,0,0
2014-11-12,180.6,181.148,180.24,181,81513540,0,0
2014-11-13,180.914,181.428,180.52,181.186,77167320,0,0
2014-11-14,181.08,181.586,180.718,181.346,75342820,0,0
2014-11-17,181.162,181.682,180.812,181.416,78167220,0,0
2014-11-18,181.23,181.968,180.952,181.658,82480960,0,0
2014-11-19,181.578,182.2,181.128,181.882,80931500,0,0
2014-11-20,181.596,182.356,181.3,182.128,78427980,0,0
2014-11-21,182.224,182.952,181.702,182.562,90809940,0,0
2014-11-24,182.814,183.452,182.28,183.074,87897900,0,0
2014-11-25,183.364,183.784,182.7,183.352,88505940,0,0
2014-11-26,183.716,184.178,183.186,183.782,84464900,0,0
2014-11-28,184.29,184.562,183.67,184.07,81474860,0,0
2014-12-01,184.07,184.33,183.562,183.906,73803080,0,0
2014-12-02,183.83,184.322,183.362,183.876,75528360,0,0
2014-12-03,183.788,184.386,183.414,184.014,73497100,0,0
2014-12-04,183.832,184.476,183.356,184.018,79326860,0,0
2014-12-05,183.9,184.582,183.47,184.16,85953940,0,0
2014-12-08,184.1,184.864,183.568,184.312,86877900,0,0
